line-of-sight_distance[m],error-compensated_coefficient
0.5,0.718544232078552
1.0,0.769670762424867
1.5,0.824497542181774
2.0,0.881917620527112
2.5,0.939836201501912
3.0,0.994880536943794
3.5,1.04246650034009
4.0,1.07720396643404
4.5,1.09426457620508
5.0,1.09095418730314
5.5,1.06780860482605
6.0,1.02839077757604
6.5,0.977856399852398
7.0,0.921420238103141
7.5,0.863362828791584
8.0,0.806603139018633
8.5,0.752876465861425
9.0,0.703048934854197
9.5,0.657406729234713
10.0,0.61588362064645
10.5,0.578222708756048
11.0,0.544065343697154
11.5,0.513009531710775
12.0,0.484642478113007
12.5,0.458577060403741
13.0,0.434465172808853
13.5,0.412014693932954
14.0,0.390988606668864
14.5,0.37120719417268
15.0,0.352539387144897
15.5,0.334885353739463
16.0,0.318180219105893
16.5,0.302367075705843
17.0,0.287406561895353
17.5,0.273260068330911
18.0,0.259895727507951
18.5,0.24727937094311
19.0,0.235377534806491
19.5,0.224158169514561
20.0,0.213585334287803
20.5,0.203626072891015
21.0,0.194247275916203
21.5,0.185414606829223
22.0,0.177095960192656
22.5,0.169260626987279
23.0,0.161879104001358
23.5,0.154921931847859
24.0,0.148361975079649
24.5,0.142173985438334
25.0,0.1363341986645
25.5,0.130820145098902
26.0,0.125610282290859
26.5,0.12068458791642
27.0,0.116024696134616
27.5,0.11161354476221
28.0,0.107435262975682
28.5,0.103475001731239
29.0,0.0997189704985685
29.5,0.0961543376379438
30.0,0.0927687349877987
30.5,0.0895510784564387
31.0,0.0864910636855066
31.5,0.0835791065248481
32.0,0.0808063101714239
32.5,0.0781643379313634
33.0,0.075645469079314
33.5,0.0732425043228705
34.0,0.0709487313377729
34.5,0.0687579071086347
35.0,0.0666641923138401
35.5,0.0646621486520866
36.0,0.0627465405449233
36.5,0.0609126283142351
37.0,0.0591559572126764
37.5,0.057472388277302
38.0,0.055858020965739
38.5,0.0543092275995817
39.0,0.0528225823229482
39.5,0.051394900322317
40.0,0.0500231636251339
40.5,0.0487045689279458
41.0,0.047436452558612
41.5,0.046216339460149
42.0,0.0450418763602499
42.5,0.0439108656726137
43.0,0.0428212312169232
43.5,0.0417710118932777
44.0,0.0407583751859712
44.5,0.0397815683277492
45.0,0.0388389599464302
45.5,0.0379289947875392
46.0,0.0370502040381998
46.5,0.036201212294324
47.0,0.0353806991133678
47.5,0.0345874264633546
48.0,0.0338202266079776
48.5,0.0330779764088987
49.0,0.0323596248811616
49.5,0.0316641530674864
50.0,0.0309906116171673
50.5,0.0303380992367796
51.0,0.0297057598456355
51.5,0.0290927799222026
52.0,0.0284983860272865
52.5,0.0279218424909053
53.0,0.0273624492508824
53.5,0.0268195398321072
54.0,0.0262924794562751
54.5,0.025780663272764
55.0,0.0252835147019838
55.5,0.0248004838832604
56.0,0.0243310462198819
56.5,0.0238747010145603
57.0,0.0234309701889865
57.5,0.0229993970817621
58.0,0.0225795453192842
58.5,0.0221709977546828
59.0,0.0217733554701994
59.5,0.0213862368387849
60.0,0.021009276640963
60.5,0.0206421252333295
61.0,0.0202844477652841
61.5,0.0199359234409279
62.0,0.0195962448230823
62.5,0.0192651171768708
63.0,0.0189422578502532
63.5,0.0186273956892152
64.0,0.0183202704854112
64.5,0.0180206324542666
65.0,0.0177282417416333
65.5,0.0174428679572727
66.0,0.0171642897334541
66.5,0.0168922943072641
67.0,0.0166266771250771
67.5,0.0163672414679449
68.0,0.0161137980966276
68.5,0.0158661649151083
69.0,0.0156241666515172
69.5,0.0153876345554508
70.0,0.0151564061107179
70.5,0.0149303247626663
71.0,0.014709239659214
71.5,0.0144930054048281
72.0,0.0142814818267439
72.5,0.0140745337526725
73.0,0.0138720307994587
73.5,0.0136738471719771
74.0,0.0134798614717754
74.5,0.0132899565149263
75.0,0.0131040191585395
75.5,0.0129219401355358
76.0,0.012743613897203
76.5,0.012568938463084
77.0,0.0123978152779263
77.5,0.012230149075167
78.0,0.0120658477467477
78.5,0.0119048222188349
79.0,0.0117469863332129
79.5,0.0115922567339981
80.0,0.0114405527594514
80.5,0.0112917963386006
81.0,0.0111459118924407
81.5,0.011002826239482
82.0,0.0108624685054298
82.5,0.0107247700368155
83.0,0.0105896643183118
83.5,0.0104570868936451
84.0,0.0103269752898713
84.5,0.0101992689448688
85.0,0.0100739091378814
85.5,0.00995083892299842
86.0,0.00983000306540448
86.5,0.00971134798025357
87.0,0.00959482167410239
87.5,0.00948037368871243
88.0,0.00936795504716813
88.5,0.00925751820217242
89.0,0.00914901698641665
89.5,0.0090424065649739
90.0,0.00893764338955063
90.5,0.0088346851545815
91.0,0.00873349075505691
91.5,0.00863402024598534
92.0,0.00853623480345094
92.5,0.00844009668719828
93.0,0.00834556920462572
93.5,0.00825261667619281
94.0,0.00816120440214297
94.5,0.00807129863047305
95.0,0.00798286652613497
95.5,0.00789587614139872
96.0,0.0078102963872823
96.5,0.00772609700611613
97.0,0.00764324854504792
97.5,0.0075617223305786
98.0,0.00748149044400205
98.5,0.00740252569775436
99.0,0.00732480161261767
99.5,0.00724829239573714
100.0,0.00717297291943946
